epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1900826394557953,4.182651519775391,0.001,0.11999999731779099,3.719195604324341
1,0.2613636255264282,2.732752561569214,0.001,0.10000000149011612,3.9819226264953613
2,0.27582645416259766,2.626406669616699,0.001,0.10999999940395355,3.7097792625427246
